datetime,open,high,low,close,volume,interest
2019-09-17 00:00:00,189.81,202.72,189.08,201.5,355097.498397,0
2019-09-18 00:00:00,201.53,217.1,201.32,213.91,639533.197364,0
2019-09-19 00:00:00,213.9,214.31,202.3,211.74,401802.104976,0
2019-09-20 00:00:00,211.75,223.93,210.55,217.07,542485.96285,0
2019-09-21 00:00:00,217.05,221.4,212.2,217.99,336008.333535,0
2019-09-22 00:00:00,217.99,218.91,207.54,210.51,342800.047754,0
2019-09-23 00:00:00,210.51,212.12,204.73,209.55,336687.401046,0
2019-09-24 00:00:00,209.54,210.75,186.92,192.59,650310.330715,0
2019-09-25 00:00:00,192.59,193.86,146,165.45,1654548.096826,0
2019-09-26 00:00:00,165.49,172.89,157.86,159.89,511260.391841,0
2019-09-27 00:00:00,159.98,167.69,152.4,164,618925.686501,0
2019-09-28 00:00:00,164,176.58,163.31,170.02,457052.183594,0
2019-09-29 00:00:00,170.02,175.3,164.22,167.28,469499.19423,0
2019-09-30 00:00:00,167.28,178.99,165.25,178.92,542385.545545,0
2019-10-01 00:00:00,178.91,185.58,175.2,178.96,451778.406739,0
2019-10-02 00:00:00,178.96,179.81,173.23,175.56,321522.0025,0
2019-10-03 00:00:00,175.55,181.11,169.56,171.82,288397.049815,0
2019-10-04 00:00:00,171.81,177,169.73,175.13,239309.814839,0
2019-10-05 00:00:00,175.12,178.94,172.03,175.92,206938.278193,0
2019-10-06 00:00:00,175.93,176.81,170.2,173.63,237526.576696,0
2019-10-07 00:00:00,173.65,178.5,167.73,177.39,419129.743401,0
2019-10-08 00:00:00,177.42,184.79,176.4,179.07,352977.882862,0
2019-10-09 00:00:00,179.07,193.34,177.3,190.73,368313.975008,0
2019-10-10 00:00:00,190.75,195.48,186.89,191.81,371934.863915,0
2019-10-11 00:00:00,191.86,196.66,182.84,184.39,427001.049921,0
2019-10-12 00:00:00,184.39,184.74,179.44,183.16,219141.836145,0
2019-10-13 00:00:00,183.11,184.16,177.5,183.59,183312.155175,0
2019-10-14 00:00:00,183.59,184.43,178.68,181.79,240925.350623,0
2019-10-15 00:00:00,181.78,188.24,180.62,183.6,339431.431726,0
2019-10-16 00:00:00,183.6,183.67,172.59,173.45,377586.186362,0
2019-10-17 00:00:00,173.4,177.92,171.84,177.16,186473.831249,0
2019-10-18 00:00:00,177.16,179,168.58,172.35,246638.969309,0
2019-10-19 00:00:00,172.34,175.57,170.56,173.24,196336.983712,0
2019-10-20 00:00:00,173.23,173.74,169.2,173.01,146745.452588,0
2019-10-21 00:00:00,173.05,177.89,171.68,172.86,270165.383591,0
2019-10-22 00:00:00,172.85,175,171.22,173.37,141300.803381,0
2019-10-23 00:00:00,173.37,173.89,156.5,158.39,393724.113756,0
2019-10-24 00:00:00,158.39,163.73,153.35,161.55,263587.382454,0
2019-10-25 00:00:00,161.54,179.88,159.65,176.13,301000.70371,0
2019-10-26 00:00:00,175.96,198,175.96,180.92,1231600.513436,0
2019-10-27 00:00:00,180.96,186,173.72,183.71,365747.626626,0
2019-10-28 00:00:00,183.73,189.5,180.54,182.86,426713.154752,0
2019-10-29 00:00:00,182.81,189.07,180.27,185.72,277608.882995,0
2019-10-30 00:00:00,185.69,192.79,180,182.28,420711.658987,0
2019-10-31 00:00:00,182.16,185.26,177.64,181.7,241927.47484,0
2019-11-01 00:00:00,181.7,184.23,179,179,178823.87508,0
2019-11-02 00:00:00,179.01,184.5,176.58,183.97,167405.280185,0
2019-11-03 00:00:00,183.97,185.6,180,181.26,150708.905657,0
2019-11-04 00:00:00,181.23,187,178.96,186.42,288393.083296,0
