datetime,open,high,low,close,volume,interest
2021-05-25 00:00:00,13.278,15.5,12.495,14.127,50840384.779884,0
2021-05-26 00:00:00,14.127,15.499,13.428,14.406,42302367.485651,0
2021-05-27 00:00:00,14.405,14.96,13.6,14.849,43629507.644733,0
2021-05-28 00:00:00,14.849,14.893,12.279,13.383,45224939.3953,0
2021-05-29 00:00:00,13.39,14.079,12.2,12.509,46342877.928906,0
2021-05-30 00:00:00,12.515,13.423,12.05,12.864,45841519.672956,0
2021-05-31 00:00:00,12.864,13.739,12.628,13.451,34449319.772371,0
2021-06-01 00:00:00,13.447,13.89,13,13.184,28211504.870143,0
2021-06-02 00:00:00,13.183,16.84,13.077,16.508,25735695.64093,0
2021-06-03 00:00:00,16.507,19,15.609,17.553,40025670.325787,0
2021-06-04 00:00:00,17.551,18.34,15.459,16.558,29015033.374862,0
2021-06-05 00:00:00,16.557,17.55,15.632,16.283,19742086.718205,0
2021-06-06 00:00:00,16.284,16.56,15.857,16.211,13916464.852229,0
2021-06-07 00:00:00,16.211,16.701,16,16.12,8843438.878349,0
2021-06-08 00:00:00,16.12,16.309,13.015,13.434,29102834.885985,0
2021-06-09 00:00:00,13.434,14.621,13.309,14.509,25986024.70344,0
2021-06-10 00:00:00,14.51,14.888,13.888,14.288,24635706.844946,0
2021-06-11 00:00:00,14.288,14.409,13.688,13.925,18362285.470321,0
2021-06-12 00:00:00,13.926,14.13,12.701,13.207,20340869.751633,0
2021-06-13 00:00:00,13.206,13.461,12.9,13.329,11631910.047117,0
2021-06-14 00:00:00,13.329,15,13.215,14.827,19257132.834348,0
2021-06-15 00:00:00,14.83,14.944,14.15,14.27,16386788.772528,0
2021-06-16 00:00:00,14.272,15,13.336,13.623,19194630.540233,0
2021-06-17 00:00:00,13.624,14,13.3,13.696,18802038.658039,0
2021-06-18 00:00:00,13.697,13.769,12.721,12.838,18929751.313112,0
2021-06-19 00:00:00,12.843,13.09,12.471,12.933,15728237.632074,0
2021-06-20 00:00:00,12.932,12.946,11.61,12.201,18458370.066629,0
2021-06-21 00:00:00,12.202,12.878,10.201,10.696,34407714.397389,0
2021-06-22 00:00:00,10.698,10.824,8.5,9.394,36706919.128984,0
2021-06-23 00:00:00,9.397,10.35,8.765,9.776,30786248.189438,0
2021-06-24 00:00:00,9.776,10.705,9.209,10.138,26991796.349767,0
2021-06-25 00:00:00,10.138,10.73,9.75,9.974,24196786.831816,0
2021-06-26 00:00:00,9.974,10.055,9.216,9.505,33314900.840097,0
2021-06-27 00:00:00,9.505,9.9,9.228,9.695,21023391.676032,0
2021-06-28 00:00:00,9.697,10.42,9.488,10.359,17622260.325833,0
2021-06-29 00:00:00,10.359,11.3,10.09,11.181,20338337.669952,0
2021-06-30 00:00:00,11.182,11.251,10.31,10.463,20564870.592734,0
2021-07-01 00:00:00,10.463,11.137,10.201,10.45,19528259.568347,0
2021-07-02 00:00:00,10.45,10.579,9.8,10.251,17740807.937451,0
2021-07-03 00:00:00,10.253,11,10.085,10.84,13146954.563383,0
2021-07-04 00:00:00,10.84,10.95,10.355,10.773,12081268.533806,0
2021-07-05 00:00:00,10.773,11.005,10.067,10.205,13209782.040477,0
2021-07-06 00:00:00,10.205,10.811,10.1,10.421,15221545.940376,0
2021-07-07 00:00:00,10.422,10.72,10.254,10.647,11583103.283021,0
2021-07-08 00:00:00,10.648,10.718,9.859,10.058,11047490.030352,0
2021-07-09 00:00:00,10.058,10.19,9.58,10.048,10531253.019918,0
2021-07-10 00:00:00,10.048,10.095,9.688,9.816,8109637.796838,0
2021-07-11 00:00:00,9.816,9.95,9.6,9.826,7708092.01608,0
2021-07-12 00:00:00,9.827,11.299,9.75,10.486,10515666.069777,0
2021-07-13 00:00:00,10.486,11.28,10.068,10.762,16081504.4831,0
2021-07-14 00:00:00,10.762,11.65,10.248,11.335,19362199.182138,0
2021-07-15 00:00:00,11.334,11.512,10.697,10.998,17105138.263278,0
2021-07-16 00:00:00,10.996,11.171,10.582,11.019,16252060.43924,0
2021-07-17 00:00:00,11.019,11.1,10.72,10.912,13076886.096266,0
2021-07-18 00:00:00,10.914,11.08,10.741,10.819,8303523.701671,0
2021-07-19 00:00:00,10.818,10.952,9.899,10.115,11311105.245005,0
2021-07-20 00:00:00,10.115,10.318,9.494,9.974,15405465.879195,0
2021-07-21 00:00:00,9.974,11.22,9.714,11.145,11545983.705281,0
2021-07-22 00:00:00,11.144,12.235,10.801,11.943,15342392.131893,0
2021-07-23 00:00:00,11.938,13.333,11.726,12.749,13207043.175035,0
2021-07-24 00:00:00,12.748,14.304,12.08,13.912,16153343.368007,0
2021-07-25 00:00:00,13.914,14.44,13.41,13.731,18721327.431993,0
2021-07-26 00:00:00,13.732,16.299,13.648,15.877,23300439.366234,0
2021-07-27 00:00:00,15.876,18.568,15.03,17.897,31782593.649834,0
2021-07-28 00:00:00,17.897,19.369,17.22,17.857,28575015.177774,0
2021-07-29 00:00:00,17.858,18.779,17.2,17.94,22467315.211733,0
2021-07-30 00:00:00,17.94,19.094,17.877,17.99,18259253.039949,0
