datetime,open,high,low,close,volume,interest
2021-05-06 00:00:00,0.582662,0.675,0.506633,0.600316,2787414676.957938,0
2021-05-07 00:00:00,0.600466,0.647812,0.517083,0.599895,2601309810.279868,0
2021-05-08 00:00:00,0.599903,0.74,0.599853,0.652315,2618084953.164425,0
2021-05-09 00:00:00,0.652071,0.701304,0.419801,0.488876,5349406622.167343,0
2021-05-10 00:00:00,0.488879,0.595,0.475048,0.511123,2803058281.176848,0
2021-05-11 00:00:00,0.511221,0.548,0.415638,0.497409,3107366331.037513,0
2021-05-12 00:00:00,0.497295,0.52141,0.465254,0.472592,1032756618.449752,0
2021-05-13 00:00:00,0.472683,0.47564,0.35,0.409421,2953300828.521925,0
2021-05-14 00:00:00,0.409467,0.572741,0.375,0.546541,3246060139.656848,0
2021-05-15 00:00:00,0.546344,0.590352,0.495737,0.519699,1648234960.247192,0
2021-05-16 00:00:00,0.519753,0.549352,0.490277,0.50968,1179143456.29231,0
2021-05-17 00:00:00,0.509846,0.533462,0.45,0.479521,1444816138.031099,0
2021-05-18 00:00:00,0.47936,0.515,0.469324,0.475745,737655634.703562,0
2021-05-19 00:00:00,0.475633,0.484615,0.209185,0.399345,3456559739.548909,0
2021-05-20 00:00:00,0.399191,0.434999,0.294485,0.410247,3164802646.580526,0
2021-05-21 00:00:00,0.410265,0.418278,0.3409,0.346542,1735560939.076388,0
2021-05-22 00:00:00,0.346647,0.374187,0.312856,0.344217,1967361814.232712,0
2021-05-23 00:00:00,0.344164,0.363346,0.28001,0.28895,1747821446.894973,0
2021-05-24 00:00:00,0.289033,0.345,0.248281,0.332,2314394641.217824,0
2021-05-25 00:00:00,0.332062,0.38,0.319169,0.345649,2002399903.29868,0
2021-05-26 00:00:00,0.345746,0.366543,0.332337,0.343201,900799012.753882,0
2021-05-27 00:00:00,0.3432,0.354652,0.326756,0.339151,625062903.606969,0
2021-05-28 00:00:00,0.339201,0.347711,0.300337,0.319089,789159893.794517,0
2021-05-29 00:00:00,0.319185,0.320218,0.2799,0.288134,651519296.315427,0
2021-05-30 00:00:00,0.288134,0.310824,0.282501,0.300471,560890228.814687,0
2021-05-31 00:00:00,0.300466,0.31856,0.29389,0.313408,478615232.020414,0
2021-06-01 00:00:00,0.313508,0.34619,0.310704,0.315823,667946228.637771,0
2021-06-02 00:00:00,0.315895,0.446753,0.312779,0.419729,1845325764.223434,0
2021-06-03 00:00:00,0.419816,0.441425,0.391791,0.409651,1079971350.266799,0
2021-06-04 00:00:00,0.409651,0.410133,0.349901,0.366911,951302066.590912,0
2021-06-05 00:00:00,0.366907,0.396443,0.363003,0.3786,665630349.187476,0
2021-06-06 00:00:00,0.378531,0.379129,0.36,0.370309,274318238.698981,0
2021-06-07 00:00:00,0.370271,0.379999,0.36105,0.364013,254010266.487788,0
2021-06-08 00:00:00,0.363981,0.364089,0.295432,0.313336,837035317.568271,0
2021-06-09 00:00:00,0.313336,0.336112,0.309184,0.332882,580468894.395147,0
2021-06-10 00:00:00,0.332882,0.355005,0.325669,0.3277,467411622.650931,0
2021-06-11 00:00:00,0.327718,0.3315,0.314256,0.316865,267975707.119542,0
2021-06-12 00:00:00,0.316901,0.333784,0.3005,0.310592,347231769.703989,0
2021-06-13 00:00:00,0.310559,0.319209,0.307439,0.311075,237632319.603585,0
2021-06-14 00:00:00,0.311028,0.33249,0.310192,0.330751,291963235.275387,0
2021-06-15 00:00:00,0.330729,0.337724,0.316389,0.319347,220270851.335418,0
2021-06-16 00:00:00,0.319379,0.327788,0.305017,0.308248,227896257.746702,0
2021-06-17 00:00:00,0.308235,0.31526,0.304701,0.309323,154948126.618131,0
2021-06-18 00:00:00,0.309338,0.309969,0.284715,0.287299,240835164.403626,0
2021-06-19 00:00:00,0.287373,0.298649,0.279752,0.294384,266170696.548723,0
