date,open,high,low,close,volume,dividend,split
2012-01-03,186.729996,188.710007,186.0,186.300003,5646000,0.0,1.0
2012-01-04,185.570007,186.330002,184.940002,185.539993,4346700,0.0,1.0
2012-01-05,184.809998,185.029999,183.100006,184.660004,4463100,0.0,1.0
2012-01-06,184.389999,184.479996,182.309998,182.539993,4897100,0.0,1.0
2012-01-09,182.199997,182.270004,180.270004,181.589996,5201200,0.0,1.0
2012-01-10,183.229996,183.720001,181.199997,181.309998,5161000,0.0,1.0
2012-01-11,180.729996,182.809998,180.5,182.320007,4110800,0.0,1.0
2012-01-12,181.860001,181.910004,178.380005,180.550003,6881000,0.0,1.0
2012-01-13,179.479996,179.610001,177.350006,179.160004,5279200,0.0,1.0
2012-01-17,180.360001,182.0,179.320007,180.0,6003400,0.0,1.0
2012-01-18,179.830002,181.600006,179.5,181.070007,4600600,0.0,1.0
2012-01-19,181.789993,182.360001,180.350006,180.520004,8567200,0.0,1.0
2012-01-20,185.770004,188.970001,184.75,188.520004,12849700,0.0,1.0
2012-01-23,187.910004,190.520004,187.669998,189.979996,5751700,0.0,1.0
2012-01-24,188.630005,192.300003,188.520004,191.929993,5345700,0.0,1.0
2012-01-25,191.330002,192.240005,189.610001,191.729996,4359700,0.0,1.0
2012-01-26,191.789993,192.789993,190.470001,190.979996,4004700,0.0,1.0
2012-01-27,190.009995,191.770004,189.809998,190.460007,3360400,0.0,1.0
2012-01-30,189.389999,192.729996,188.220001,192.5,4359000,0.0,1.0
2012-01-31,193.089996,193.100006,191.0,192.600006,4826800,0.0,1.0
2012-02-01,193.210007,194.809998,192.410004,192.619995,5088800,0.0,1.0
2012-02-02,192.720001,193.330002,191.330002,191.529999,3907300,0.0,1.0
2012-02-03,192.929993,194.130005,192.539993,193.639999,4521700,0.0,1.0
2012-02-06,192.479996,193.759995,192.0,192.820007,3639800,0.0,1.0
2012-02-07,192.449997,194.139999,191.970001,193.350006,3433000,0.0,1.0
2012-02-08,192.779999,193.580002,191.729996,192.949997,3803800,0.75,1.0
2012-02-09,193.029999,194.460007,192.550003,193.130005,3876400,0.0,1.0
2012-02-10,191.759995,192.429993,191.279999,192.419998,3391100,0.0,1.0
2012-02-13,193.309998,193.690002,191.740005,192.619995,2458800,0.0,1.0
2012-02-14,191.759995,192.600006,190.830002,192.220001,3398100,0.0,1.0
2012-02-15,192.309998,193.440002,191.259995,192.25,4020900,0.0,1.0
2012-02-16,192.610001,193.25,192.0,193.020004,3525500,0.0,1.0
2012-02-17,193.710007,193.860001,192.300003,193.419998,3746500,0.0,1.0
2012-02-21,193.729996,194.240005,192.460007,193.389999,3293600,0.0,1.0
2012-02-22,193.029999,194.740005,192.75,193.869995,3275800,0.0,1.0
2012-02-23,193.869995,199.229996,193.279999,197.610001,8032700,0.0,1.0
2012-02-24,198.380005,198.559998,196.610001,197.759995,3353200,0.0,1.0
2012-02-27,196.779999,198.710007,196.100006,197.529999,3758400,0.0,1.0
2012-02-28,197.75,198.960007,197.429993,197.979996,3167400,0.0,1.0
2012-02-29,197.860001,199.169998,196.449997,196.729996,5117100,0.0,1.0
2012-03-01,197.229996,198.470001,196.929993,197.529999,3560300,0.0,1.0
2012-03-02,197.100006,198.889999,197.059998,198.809998,3727400,0.0,1.0
2012-03-05,198.360001,201.190002,198.300003,200.660004,6938000,0.0,1.0
2012-03-06,199.139999,199.639999,196.809998,197.259995,5214700,0.0,1.0
2012-03-07,198.089996,198.570007,197.309998,197.770004,3346900,0.0,1.0
2012-03-08,199.240005,199.990005,198.649994,199.809998,3145800,0.0,1.0
2012-03-09,199.979996,201.100006,199.720001,200.619995,3178200,0.0,1.0
2012-03-12,200.929993,201.570007,200.229996,201.0,3119700,0.0,1.0
2012-03-13,201.720001,203.899994,201.610001,203.779999,4866000,0.0,1.0
2012-03-14,203.779999,205.149994,203.639999,204.720001,4602300,0.0,1.0
2012-03-15,204.940002,206.179993,204.740005,206.0,3621100,0.0,1.0
2012-03-16,207.029999,207.520004,206.009995,206.009995,9637000,0.0,1.0
2012-03-19,205.710007,206.529999,204.5,205.720001,3763200,0.0,1.0
2012-03-20,204.740005,205.0,203.699997,204.25,3695100,0.0,1.0
2012-03-21,204.320007,205.770004,204.300003,204.690002,3329900,0.0,1.0
2012-03-22,204.0,205.990005,203.960007,205.490005,3307800,0.0,1.0
2012-03-23,205.889999,205.960007,204.559998,205.479996,3036200,0.0,1.0
2012-03-26,206.449997,207.919998,206.320007,207.770004,3418200,0.0,1.0
2012-03-27,208.460007,208.660004,207.0,207.179993,2704500,0.0,1.0
2012-03-28,207.440002,208.690002,206.270004,207.289993,3265700,0.0,1.0
2012-03-29,206.089996,208.5,206.020004,208.270004,3403700,0.0,1.0
2012-03-30,208.740005,209.119995,208.009995,208.649994,3215200,0.0,1.0
2012-04-02,208.960007,209.690002,208.089996,209.470001,3387900,0.0,1.0
2012-04-03,209.309998,210.690002,208.539993,209.5,4091500,0.0,1.0
2012-04-04,206.220001,206.979996,205.190002,206.050003,4404000,0.0,1.0
2012-04-05,205.149994,205.679993,204.460007,205.470001,3809000,0.0,1.0
2012-04-09,204.399994,206.169998,203.369995,204.940002,3326900,0.0,1.0
2012-04-10,204.940002,205.740005,202.169998,202.330002,4132900,0.0,1.0
2012-04-11,203.990005,204.320007,202.460007,202.580002,3366200,0.0,1.0
2012-04-12,202.800003,205.559998,202.639999,205.320007,2929600,0.0,1.0
2012-04-13,204.320007,204.649994,202.800003,202.800003,3767000,0.0,1.0
2012-04-16,204.740005,205.970001,202.720001,202.720001,3826600,0.0,1.0
2012-04-17,204.570007,207.639999,204.149994,207.449997,6065500,0.0,1.0
2012-04-18,202.429993,204.070007,200.0,200.130005,10153500,0.0,1.0
2012-04-19,200.029999,201.259995,197.520004,199.509995,5762900,0.0,1.0
2012-04-20,199.830002,200.119995,199.089996,199.600006,4758200,0.0,1.0
2012-04-23,197.889999,199.100006,196.789993,198.619995,3618800,0.0,1.0
2012-04-24,199.059998,202.479996,198.869995,200.0,5626300,0.0,1.0
2012-04-25,202.020004,203.690002,201.800003,203.570007,4003400,0.0,1.0
2012-04-26,203.399994,206.210007,203.399994,205.580002,3302700,0.0,1.0
2012-04-27,206.470001,208.169998,205.910004,206.809998,3496900,0.0,1.0
2012-04-30,206.710007,207.960007,206.320007,207.080002,2773200,0.0,1.0
2012-05-01,207.179993,208.929993,206.710007,208.0,2715900,0.0,1.0
2012-05-02,206.970001,208.270004,206.910004,208.059998,2360300,0.0,1.0
2012-05-03,208.270004,208.919998,206.550003,207.240005,2826600,0.0,1.0
