date,open,high,low,close,volume,dividend,split
2012-01-03,58.485714,58.92857,58.42857,58.747143,75555200,0.0,1.0
2012-01-04,58.57143,59.240002,58.468571,59.062859,65005500,0.0,1.0
2012-01-05,59.278572,59.792858,58.952858,59.718571,67817400,0.0,1.0
2012-01-06,59.967144,60.392857,59.888573,60.342857,79573200,0.0,1.0
2012-01-09,60.785713,61.107143,60.192856,60.247143,98506100,0.0,1.0
2012-01-10,60.844284,60.857143,60.214287,60.462856,64549100,0.0,1.0
2012-01-11,60.382858,60.407143,59.901428,60.364285,53771200,0.0,1.0
2012-01-12,60.325714,60.414288,59.82143,60.19857,53146800,0.0,1.0
2012-01-13,59.957142,60.064285,59.808571,59.972858,56505400,0.0,1.0
2012-01-17,60.599998,60.855713,60.422855,60.671429,60724300,0.0,1.0
2012-01-18,60.994286,61.352856,60.900002,61.30143,69197800,0.0,1.0
2012-01-19,61.450001,61.624287,60.93,61.107143,65434600,0.0,1.0
2012-01-20,61.07,61.07143,59.964287,60.042858,103493600,0.0,1.0
2012-01-23,60.381428,61.207142,60.328571,61.058571,76515600,0.0,1.0
2012-01-24,60.728573,60.728573,59.935715,60.058571,136909500,0.0,1.0
2012-01-25,64.919998,64.921425,63.389999,63.808571,239578500,0.0,1.0
2012-01-26,64.05143,64.112854,63.305714,63.51857,80996300,0.0,1.0
2012-01-27,63.477142,64.068573,63.395714,63.897144,74927300,0.0,1.0
2012-01-30,63.672855,64.842857,63.627144,64.715714,94835300,0.0,1.0
2012-01-31,65.084282,65.46286,64.724289,65.211426,97920900,0.0,1.0
2012-02-01,65.487144,65.57,65.078575,65.169998,67511500,0.0,1.0
2012-02-02,65.128571,65.309998,64.854286,65.017143,46699100,0.0,1.0
2012-02-03,65.328575,65.714287,65.080002,65.668571,71649900,0.0,1.0
2012-02-06,65.482857,66.425713,65.457146,66.281425,62353200,0.0,1.0
2012-02-07,66.464287,67.10714,66.368568,66.975716,79055900,0.0,1.0
2012-02-08,67.214287,68.112854,67.099998,68.097145,101972500,0.0,1.0
2012-02-09,68.68,70.964287,68.651428,70.452858,221053700,0.0,1.0
2012-02-10,70.137146,71.08857,69.792854,70.488571,157825500,0.0,1.0
